Time(Sec),Speed(Kmph),Accel(m/s^2)
0,0.0 ,0.00
1,0.0 ,0.00
2,0.0 ,0.00
3,0.0 ,0.00
4,0.0 ,0.00
5,0.0 ,0.00
6,0.0 ,0.00
7,0.0 ,0.00
8,0.0 ,0.00
9,0.0 ,0.00
10,0.0 ,0.00
11,0.0 ,0.00
12,0.2 ,0.06
13,1.7 ,0.42
14,5.4 ,1.03
15,9.9 ,1.25
16,13.1 ,0.89
17,16.9 ,1.06
18,21.7 ,1.33
19,26.0 ,1.19
20,27.5 ,0.42
21,28.1 ,0.17
22,28.3 ,0.06
23,28.8 ,0.14
24,29.1 ,0.08
25,30.8 ,0.47
26,31.9 ,0.31
27,34.1 ,0.61
28,36.6 ,0.69
29,39.1 ,0.69
30,41.3 ,0.61
31,42.5 ,0.33
32,43.3 ,0.22
33,43.9 ,0.17
34,44.4 ,0.14
35,44.5 ,0.03
36,44.2 ,-0.08
37,42.7 ,-0.42
38,39.9 ,-0.78
39,37.0 ,-0.81
40,34.6 ,-0.67
41,32.3 ,-0.64
42,29.0 ,-0.92
43,25.1 ,-1.08
44,22.2 ,-0.81
45,20.9 ,-0.36
46,20.4 ,-0.14
47,19.5 ,-0.25
48,18.4 ,-0.31
49,17.8 ,-0.17
50,17.8 ,0.00
51,17.4 ,-0.11
52,15.7 ,-0.47
53,13.1 ,-0.72
54,12.1 ,-0.28
55,12.0 ,-0.03
56,12.0 ,0.00
57,12.0 ,0.00
58,12.3 ,0.08
59,12.6 ,0.08
60,14.7 ,0.58
61,15.3 ,0.17
62,15.9 ,0.17
63,16.2 ,0.08
64,17.1 ,0.25
65,17.8 ,0.19
66,18.1 ,0.08
67,18.4 ,0.08
68,20.3 ,0.53
69,23.2 ,0.81
70,26.5 ,0.92
71,29.8 ,0.92
72,32.6 ,0.78
73,34.4 ,0.50
74,35.5 ,0.31
75,36.4 ,0.25
76,37.4 ,0.28
77,38.5 ,0.31
78,39.3 ,0.22
79,39.5 ,0.06
80,39.0 ,-0.14
81,38.5 ,-0.14
82,37.3 ,-0.33
83,37.0 ,-0.08
84,36.7 ,-0.08
85,35.9 ,-0.22
86,35.3 ,-0.17
87,34.6 ,-0.19
88,34.2 ,-0.11
89,31.9 ,-0.64
90,27.3 ,-1.28
91,22.0 ,-1.47
92,17.0 ,-1.39
93,14.2 ,-0.78
94,12.0 ,-0.61
95,9.1 ,-0.81
96,5.8 ,-0.92
97,3.6 ,-0.61
98,2.2 ,-0.39
99,0.0 ,-0.61
100,0.0 ,0.00
101,0.0 ,0.00
102,0.0 ,0.00
103,0.0 ,0.00
104,0.0 ,0.00
105,0.0 ,0.00
106,0.0 ,0.00
107,0.0 ,0.00
108,0.0 ,0.00
109,0.0 ,0.00
110,0.0 ,0.00
111,0.0 ,0.00
112,0.0 ,0.00
113,0.0 ,0.00
114,0.0 ,0.00
115,0.0 ,0.00
116,0.0 ,0.00
117,0.0 ,0.00
118,0.0 ,0.00
119,0.0 ,0.00
120,0.0 ,0.00
121,0.0 ,0.00
122,0.0 ,0.00
123,0.0 ,0.00
124,0.0 ,0.00
125,0.0 ,0.00
126,0.0 ,0.00
127,0.0 ,0.00
128,0.0 ,0.00
129,0.0 ,0.00
130,0.0 ,0.00
131,0.0 ,0.00
132,0.0 ,0.00
133,0.0 ,0.00
134,0.0 ,0.00
135,0.0 ,0.00
136,0.0 ,0.00
137,0.0 ,0.00
138,0.2 ,0.06
139,1.9 ,0.47
140,6.1 ,1.17
141,11.7 ,1.56
142,16.4 ,1.31
143,18.9 ,0.69
144,19.9 ,0.28
145,20.8 ,0.25
146,22.8 ,0.56
147,25.4 ,0.72
148,27.7 ,0.64
149,29.2 ,0.42
150,29.8 ,0.17
151,29.4 ,-0.11
152,27.2 ,-0.61
153,22.6 ,-1.28
154,17.3 ,-1.47
155,13.3 ,-1.11
156,12.0 ,-0.36
157,12.6 ,0.17
158,14.1 ,0.42
159,17.2 ,0.86
160,20.1 ,0.81
161,23.4 ,0.92
162,25.5 ,0.58
163,27.6 ,0.58
164,29.5 ,0.53
165,31.1 ,0.44
166,32.1 ,0.28
167,33.2 ,0.31
168,35.2 ,0.56
169,37.2 ,0.56
170,38.0 ,0.22
171,37.4 ,-0.17
172,35.1 ,-0.64
173,31.0 ,-1.14
174,27.1 ,-1.08
175,25.3 ,-0.50
176,25.1 ,-0.06
177,25.9 ,0.22
178,27.8 ,0.53
179,29.2 ,0.39
180,29.6 ,0.11
181,29.5 ,-0.03
182,29.2 ,-0.08
183,28.3 ,-0.25
184,26.1 ,-0.61
185,23.6 ,-0.69
186,21.0 ,-0.72
187,18.9 ,-0.58
188,17.1 ,-0.50
189,15.7 ,-0.39
190,14.5 ,-0.33
191,13.7 ,-0.22
192,12.9 ,-0.22
193,12.5 ,-0.11
194,12.2 ,-0.08
195,12.0 ,-0.06
196,12.0 ,0.00
197,12.0 ,0.00
198,12.0 ,0.00
199,12.5 ,0.14
200,13.0 ,0.14
201,14.0 ,0.28
202,15.0 ,0.28
203,16.5 ,0.42
204,19.0 ,0.69
205,21.2 ,0.61
206,23.8 ,0.72
207,26.9 ,0.86
208,29.6 ,0.75
209,32.0 ,0.67
210,35.2 ,0.89
211,37.5 ,0.64
212,39.2 ,0.47
213,40.5 ,0.36
214,41.6 ,0.31
215,43.1 ,0.42
216,45.0 ,0.53
217,47.1 ,0.58
218,49.0 ,0.53
219,50.6 ,0.44
220,51.8 ,0.33
221,52.7 ,0.25
222,53.1 ,0.11
223,53.5 ,0.11
224,53.8 ,0.08
225,54.2 ,0.11
226,54.8 ,0.17
227,55.3 ,0.14
228,55.8 ,0.14
229,56.2 ,0.11
230,56.5 ,0.08
231,56.5 ,0.00
232,56.2 ,-0.08
233,54.9 ,-0.36
234,52.9 ,-0.56
235,51.0 ,-0.53
236,49.8 ,-0.33
237,49.2 ,-0.17
238,48.4 ,-0.22
239,46.9 ,-0.42
240,44.3 ,-0.72
241,41.5 ,-0.78
242,39.5 ,-0.56
243,37.0 ,-0.69
244,34.6 ,-0.67
245,32.3 ,-0.64
246,29.0 ,-0.92
247,25.1 ,-1.08
248,22.2 ,-0.81
249,20.9 ,-0.36
250,20.4 ,-0.14
251,19.5 ,-0.25
252,18.4 ,-0.31
253,17.8 ,-0.17
254,17.8 ,0.00
255,17.4 ,-0.11
256,15.7 ,-0.47
257,14.5 ,-0.33
258,15.4 ,0.25
259,17.9 ,0.69
260,20.6 ,0.75
261,23.2 ,0.72
262,25.7 ,0.69
263,28.7 ,0.83
264,32.5 ,1.06
265,36.1 ,1.00
266,39.0 ,0.81
267,40.8 ,0.50
268,42.9 ,0.58
269,44.4 ,0.42
270,45.9 ,0.42
271,46.0 ,0.03
272,45.6 ,-0.11
273,45.3 ,-0.08
274,43.7 ,-0.44
275,40.8 ,-0.81
276,38.0 ,-0.78
277,34.4 ,-1.00
278,30.9 ,-0.97
279,25.5 ,-1.50
280,21.4 ,-1.14
281,20.2 ,-0.33
282,22.9 ,0.75
283,26.6 ,1.03
284,30.2 ,1.00
285,34.1 ,1.08
286,37.4 ,0.92
287,40.7 ,0.92
288,44.0 ,0.92
289,47.3 ,0.92
290,49.2 ,0.53
291,49.8 ,0.17
292,49.2 ,-0.17
293,48.1 ,-0.31
294,47.3 ,-0.22
295,46.8 ,-0.14
296,46.7 ,-0.03
297,46.8 ,0.03
298,47.1 ,0.08
299,47.3 ,0.06
300,47.3 ,0.00
301,47.1 ,-0.06
302,46.6 ,-0.14
303,45.8 ,-0.22
304,44.8 ,-0.28
305,43.3 ,-0.42
306,41.8 ,-0.42
307,40.8 ,-0.28
308,40.3 ,-0.14
309,40.1 ,-0.06
310,39.7 ,-0.11
311,39.2 ,-0.14
312,38.5 ,-0.19
313,37.4 ,-0.31
314,36.0 ,-0.39
315,34.4 ,-0.44
316,33.0 ,-0.39
317,31.7 ,-0.36
318,30.0 ,-0.47
319,28.0 ,-0.56
320,26.1 ,-0.53
321,25.6 ,-0.14
322,24.9 ,-0.19
323,24.9 ,0.00
324,24.3 ,-0.17
325,23.9 ,-0.11
326,23.9 ,0.00
327,23.6 ,-0.08
328,23.3 ,-0.08
329,20.5 ,-0.78
330,17.5 ,-0.83
331,16.9 ,-0.17
332,16.7 ,-0.06
333,15.9 ,-0.22
334,15.6 ,-0.08
335,15.0 ,-0.17
336,14.5 ,-0.14
337,14.3 ,-0.06
338,14.5 ,0.06
339,15.4 ,0.25
340,17.8 ,0.67
341,21.1 ,0.92
342,24.1 ,0.83
343,25.0 ,0.25
344,25.3 ,0.08
345,25.5 ,0.06
346,26.4 ,0.25
347,26.6 ,0.06
348,27.1 ,0.14
349,27.7 ,0.17
350,28.1 ,0.11
351,28.2 ,0.03
352,28.1 ,-0.03
353,28.0 ,-0.03
354,27.9 ,-0.03
355,27.9 ,0.00
356,28.1 ,0.06
357,28.2 ,0.03
358,28.0 ,-0.06
359,26.9 ,-0.31
360,25.0 ,-0.53
361,23.2 ,-0.50
362,21.9 ,-0.36
363,21.1 ,-0.22
364,20.7 ,-0.11
365,20.7 ,0.00
366,20.8 ,0.03
367,21.2 ,0.11
368,22.1 ,0.25
369,23.5 ,0.39
370,24.3 ,0.22
371,24.5 ,0.06
372,23.8 ,-0.19
373,21.3 ,-0.69
374,17.7 ,-1.00
375,14.4 ,-0.92
376,11.9 ,-0.69
377,10.2 ,-0.47
378,8.9 ,-0.36
379,8.0 ,-0.25
380,7.2 ,-0.22
381,6.1 ,-0.31
382,4.9 ,-0.33
383,3.7 ,-0.33
384,2.3 ,-0.39
385,0.9 ,-0.39
386,0.0 ,-0.25
387,0.0 ,0.00
388,0.0 ,0.00
389,0.0 ,0.00
390,0.0 ,0.00
391,0.0 ,0.00
392,0.5 ,0.14
393,2.1 ,0.44
394,4.8 ,0.75
395,8.3 ,0.97
396,12.3 ,1.11
397,16.6 ,1.19
398,20.9 ,1.19
399,24.2 ,0.92
400,25.6 ,0.39
401,25.6 ,0.00
402,24.9 ,-0.19
403,23.3 ,-0.44
404,21.6 ,-0.47
405,20.2 ,-0.39
406,18.7 ,-0.42
407,17.0 ,-0.47
408,15.3 ,-0.47
409,14.2 ,-0.31
410,13.9 ,-0.08
411,14.0 ,0.03
412,14.2 ,0.06
413,14.5 ,0.08
414,14.9 ,0.11
415,15.9 ,0.28
416,17.4 ,0.42
417,18.7 ,0.36
418,19.1 ,0.11
419,18.8 ,-0.08
420,17.6 ,-0.33
421,16.6 ,-0.28
422,16.2 ,-0.11
423,16.4 ,0.06
424,17.2 ,0.22
425,19.1 ,0.53
426,22.6 ,0.97
427,27.4 ,1.33
428,31.6 ,1.17
429,33.4 ,0.50
430,33.5 ,0.03
431,32.8 ,-0.19
432,31.9 ,-0.25
433,31.3 ,-0.17
434,31.1 ,-0.06
435,30.6 ,-0.14
436,29.2 ,-0.39
437,26.7 ,-0.69
438,23.0 ,-1.03
439,18.2 ,-1.33
440,12.9 ,-1.47
441,7.7 ,-1.44
442,3.8 ,-1.08
443,1.3 ,-0.69
444,0.2 ,-0.31
445,0.0 ,-0.06
446,0.0 ,0.00
447,0.0 ,0.00
448,0.0 ,0.00
449,0.0 ,0.00
450,0.0 ,0.00
451,0.0 ,0.00
452,0.0 ,0.00
453,0.0 ,0.00
454,0.0 ,0.00
455,0.0 ,0.00
456,0.0 ,0.00
457,0.0 ,0.00
458,0.0 ,0.00
459,0.0 ,0.00
460,0.0 ,0.00
461,0.0 ,0.00
462,0.0 ,0.00
463,0.0 ,0.00
464,0.0 ,0.00
465,0.0 ,0.00
466,0.0 ,0.00
467,0.0 ,0.00
468,0.0 ,0.00
469,0.0 ,0.00
470,0.0 ,0.00
471,0.0 ,0.00
472,0.0 ,0.00
473,0.0 ,0.00
474,0.0 ,0.00
475,0.0 ,0.00
476,0.0 ,0.00
477,0.0 ,0.00
478,0.0 ,0.00
479,0.0 ,0.00
480,0.0 ,0.00
481,0.0 ,0.00
482,0.0 ,0.00
483,0.0 ,0.00
484,0.0 ,0.00
485,0.0 ,0.00
486,0.0 ,0.00
487,0.0 ,0.00
488,0.0 ,0.00
489,0.0 ,0.00
490,0.0 ,0.00
491,0.0 ,0.00
492,0.0 ,0.00
493,0.0 ,0.00
494,0.0 ,0.00
495,0.0 ,0.00
496,0.0 ,0.00
497,0.0 ,0.00
498,0.0 ,0.00
499,0.0 ,0.00
500,0.0 ,0.00
501,0.0 ,0.00
502,0.0 ,0.00
503,0.0 ,0.00
504,0.0 ,0.00
505,0.0 ,0.00
506,0.0 ,0.00
507,0.0 ,0.00
508,0.0 ,0.00
509,0.0 ,0.00
510,0.0 ,0.00
511,0.0 ,0.00
512,0.5 ,0.14
513,2.5 ,0.56
514,6.6 ,1.14
515,11.8 ,1.44
516,16.8 ,1.39
517,20.5 ,1.03
518,21.9 ,0.39
519,21.9 ,0.00
520,21.3 ,-0.17
521,20.3 ,-0.28
522,19.2 ,-0.31
523,17.8 ,-0.39
524,15.5 ,-0.64
525,11.9 ,-1.00
526,7.6 ,-1.19
527,4.0 ,-1.00
528,2.0 ,-0.56
529,1.0 ,-0.28
530,0.0 ,-0.28
531,0.0 ,0.00
532,0.0 ,0.00
533,0.2 ,0.06
534,1.2 ,0.28
535,3.2 ,0.56
536,5.2 ,0.56
537,8.2 ,0.83
538,13.0 ,1.33
539,18.8 ,1.61
540,23.1 ,1.19
541,24.5 ,0.39
542,24.5 ,0.00
543,24.3 ,-0.06
544,23.6 ,-0.19
545,22.3 ,-0.36
546,20.1 ,-0.61
547,18.5 ,-0.44
548,17.2 ,-0.36
549,16.3 ,-0.25
550,15.4 ,-0.25
551,14.7 ,-0.19
552,14.3 ,-0.11
553,13.7 ,-0.17
554,13.3 ,-0.11
555,13.1 ,-0.06
556,13.1 ,0.00
557,13.3 ,0.06
558,13.8 ,0.14
559,14.5 ,0.19
560,16.5 ,0.56
561,17.0 ,0.14
562,17.0 ,0.00
563,17.0 ,0.00
564,15.4 ,-0.44
565,10.1 ,-1.47
566,4.8 ,-1.47
567,0.0 ,-1.33
568,0.0 ,0.00
569,0.0 ,0.00
570,0.0 ,0.00
571,0.0 ,0.00
572,0.0 ,0.00
573,0.0 ,0.00
574,0.0 ,0.00
575,0.0 ,0.00
576,0.0 ,0.00
577,0.0 ,0.00
578,0.0 ,0.00
579,0.0 ,0.00
580,0.0 ,0.00
581,0.0 ,0.00
582,0.0 ,0.00
583,0.0 ,0.00
584,0.0 ,0.00
585,0.0 ,0.00
586,0.0 ,0.00
587,0.0 ,0.00
588,0.0 ,0.00
589,0.0 ,0.00
590,0.0 ,0.00
591,0.0 ,0.00
592,0.0 ,0.00
593,0.0 ,0.00
594,0.0 ,0.00
595,0.0 ,0.00
596,0.0 ,0.00
597,0.0 ,0.00
598,0.0 ,0.00
599,0.0 ,0.00
600,0.0 ,0.00
601,1.0 ,0.28
602,2.1 ,0.31
603,4.8 ,0.75
604,9.1 ,1.19
605,14.2 ,1.42
606,19.8 ,1.56
607,25.5 ,1.58
608,30.5 ,1.39
609,34.8 ,1.19
610,38.8 ,1.11
611,42.9 ,1.14
612,46.4 ,0.97
613,48.3 ,0.53
614,48.7 ,0.11
